STATEFP,COUNTYFP,COUNTYNAME,year,heat_days
13,13001,Appling,1979,28
13,13001,Appling,1980,74
13,13001,Appling,1981,74
13,13001,Appling,1982,17
13,13001,Appling,1983,42
13,13001,Appling,1984,29
13,13001,Appling,1985,40
13,13001,Appling,1986,70
13,13001,Appling,1987,49
13,13001,Appling,1988,48
13,13001,Appling,1989,35
13,13001,Appling,1990,90
13,13001,Appling,1991,29
13,13001,Appling,1992,18
13,13001,Appling,1993,75
13,13001,Appling,1994,17
13,13001,Appling,1995,48
13,13001,Appling,1996,50
13,13001,Appling,1997,39
13,13001,Appling,1998,82
13,13001,Appling,1999,58
13,13001,Appling,2000,67
13,13001,Appling,2001,29
13,13001,Appling,2002,54
13,13001,Appling,2003,17
13,13001,Appling,2004,57
13,13001,Appling,2005,47
13,13001,Appling,2006,80
13,13001,Appling,2007,73
13,13001,Appling,2008,66
13,13001,Appling,2009,109
13,13001,Appling,2010,106
13,13001,Appling,2011,118
13,13001,Appling,2012,66
13,13001,Appling,2013,31
13,13001,Appling,2014,98
13,13001,Appling,2015,78
13,13001,Appling,2016,87
13,13001,Appling,2017,61
13,13001,Appling,2018,70
13,13001,Appling,2019,106
13,13001,Appling,2020,75
13,13001,Appling,2021,54
13,13003,Atkinson,1979,26
13,13003,Atkinson,1980,72
13,13003,Atkinson,1981,76
13,13003,Atkinson,1982,17
13,13003,Atkinson,1983,30
13,13003,Atkinson,1984,20
13,13003,Atkinson,1985,39
13,13003,Atkinson,1986,57
13,13003,Atkinson,1987,43
13,13003,Atkinson,1988,44
13,13003,Atkinson,1989,32
13,13003,Atkinson,1990,93
13,13003,Atkinson,1991,19
13,13003,Atkinson,1992,18
13,13003,Atkinson,1993,69
13,13003,Atkinson,1994,6
13,13003,Atkinson,1995,49
13,13003,Atkinson,1996,47
13,13003,Atkinson,1997,37
13,13003,Atkinson,1998,80
13,13003,Atkinson,1999,55
13,13003,Atkinson,2000,66
13,13003,Atkinson,2001,22
13,13003,Atkinson,2002,55
13,13003,Atkinson,2003,14
13,13003,Atkinson,2004,60
13,13003,Atkinson,2005,40
13,13003,Atkinson,2006,84
13,13003,Atkinson,2007,82
13,13003,Atkinson,2008,65
13,13003,Atkinson,2009,113
13,13003,Atkinson,2010,107
13,13003,Atkinson,2011,118
13,13003,Atkinson,2012,63
13,13003,Atkinson,2013,34
13,13003,Atkinson,2014,101
13,13003,Atkinson,2015,76
13,13003,Atkinson,2016,83
13,13003,Atkinson,2017,56
13,13003,Atkinson,2018,59
13,13003,Atkinson,2019,101
13,13003,Atkinson,2020,68
13,13003,Atkinson,2021,48
13,13005,Bacon,1979,27
13,13005,Bacon,1980,71
13,13005,Bacon,1981,77
13,13005,Bacon,1982,18
13,13005,Bacon,1983,37
13,13005,Bacon,1984,28
13,13005,Bacon,1985,41
13,13005,Bacon,1986,65
13,13005,Bacon,1987,52
13,13005,Bacon,1988,48
13,13005,Bacon,1989,37
13,13005,Bacon,1990,96
13,13005,Bacon,1991,28
13,13005,Bacon,1992,20
13,13005,Bacon,1993,69
13,13005,Bacon,1994,16
13,13005,Bacon,1995,51
13,13005,Bacon,1996,51
13,13005,Bacon,1997,39
13,13005,Bacon,1998,80
13,13005,Bacon,1999,59
13,13005,Bacon,2000,68
13,13005,Bacon,2001,30
13,13005,Bacon,2002,53
13,13005,Bacon,2003,17
13,13005,Bacon,2004,57
13,13005,Bacon,2005,46
13,13005,Bacon,2006,81
13,13005,Bacon,2007,79
13,13005,Bacon,2008,65
13,13005,Bacon,2009,110
13,13005,Bacon,2010,114
13,13005,Bacon,2011,118
13,13005,Bacon,2012,66
13,13005,Bacon,2013,35
13,13005,Bacon,2014,100
13,13005,Bacon,2015,80
13,13005,Bacon,2016,87
13,13005,Bacon,2017,62
13,13005,Bacon,2018,69
13,13005,Bacon,2019,106
13,13005,Bacon,2020,71
13,13005,Bacon,2021,55
13,13007,Baker,1979,25
13,13007,Baker,1980,65
13,13007,Baker,1981,65
13,13007,Baker,1982,15
13,13007,Baker,1983,27
13,13007,Baker,1984,19
13,13007,Baker,1985,30
13,13007,Baker,1986,76
13,13007,Baker,1987,32
13,13007,Baker,1988,38
13,13007,Baker,1989,19
13,13007,Baker,1990,77
13,13007,Baker,1991,16
13,13007,Baker,1992,17
13,13007,Baker,1993,63
13,13007,Baker,1994,3
13,13007,Baker,1995,49
13,13007,Baker,1996,38
13,13007,Baker,1997,31
13,13007,Baker,1998,81
13,13007,Baker,1999,60
13,13007,Baker,2000,91
13,13007,Baker,2001,19
13,13007,Baker,2002,57
13,13007,Baker,2003,7
13,13007,Baker,2004,50
13,13007,Baker,2005,38
13,13007,Baker,2006,84
13,13007,Baker,2007,99
13,13007,Baker,2008,61
13,13007,Baker,2009,111
13,13007,Baker,2010,100
13,13007,Baker,2011,122
13,13007,Baker,2012,87
13,13007,Baker,2013,38
13,13007,Baker,2014,102
13,13007,Baker,2015,76
13,13007,Baker,2016,90
13,13007,Baker,2017,45
13,13007,Baker,2018,60
13,13007,Baker,2019,104
13,13007,Baker,2020,79
13,13007,Baker,2021,48
13,13009,Baldwin,1979,30
13,13009,Baldwin,1980,79
13,13009,Baldwin,1981,66
13,13009,Baldwin,1982,17
13,13009,Baldwin,1983,39
13,13009,Baldwin,1984,16
13,13009,Baldwin,1985,48
13,13009,Baldwin,1986,76
13,13009,Baldwin,1987,40
13,13009,Baldwin,1988,57
13,13009,Baldwin,1989,24
13,13009,Baldwin,1990,61
13,13009,Baldwin,1991,24
13,13009,Baldwin,1992,18
13,13009,Baldwin,1993,62
13,13009,Baldwin,1994,6
13,13009,Baldwin,1995,41
13,13009,Baldwin,1996,22
13,13009,Baldwin,1997,32
13,13009,Baldwin,1998,55
13,13009,Baldwin,1999,61
13,13009,Baldwin,2000,82
13,13009,Baldwin,2001,21
13,13009,Baldwin,2002,67
13,13009,Baldwin,2003,4
13,13009,Baldwin,2004,47
13,13009,Baldwin,2005,37
13,13009,Baldwin,2006,80
13,13009,Baldwin,2007,80
13,13009,Baldwin,2008,73
13,13009,Baldwin,2009,104
13,13009,Baldwin,2010,98
13,13009,Baldwin,2011,114
13,13009,Baldwin,2012,89
13,13009,Baldwin,2013,28
13,13009,Baldwin,2014,102
13,13009,Baldwin,2015,71
13,13009,Baldwin,2016,95
13,13009,Baldwin,2017,63
13,13009,Baldwin,2018,98
13,13009,Baldwin,2019,115
13,13009,Baldwin,2020,70
13,13009,Baldwin,2021,68
13,13011,Banks,1979,8
13,13011,Banks,1980,31
13,13011,Banks,1981,35
13,13011,Banks,1982,4
13,13011,Banks,1983,23
13,13011,Banks,1984,3
13,13011,Banks,1985,13
13,13011,Banks,1986,54
13,13011,Banks,1987,21
13,13011,Banks,1988,34
13,13011,Banks,1989,5
13,13011,Banks,1990,21
13,13011,Banks,1991,9
13,13011,Banks,1992,8
13,13011,Banks,1993,33
13,13011,Banks,1994,1
13,13011,Banks,1995,24
13,13011,Banks,1996,12
13,13011,Banks,1997,7
13,13011,Banks,1998,25
13,13011,Banks,1999,36
13,13011,Banks,2000,37
13,13011,Banks,2001,9
13,13011,Banks,2002,40
13,13011,Banks,2003,0
13,13011,Banks,2004,12
13,13011,Banks,2005,13
13,13011,Banks,2006,36
13,13011,Banks,2007,68
13,13011,Banks,2008,42
13,13011,Banks,2009,79
13,13011,Banks,2010,59
13,13011,Banks,2011,88
13,13011,Banks,2012,52
13,13011,Banks,2013,9
13,13011,Banks,2014,43
13,13011,Banks,2015,49
13,13011,Banks,2016,64
13,13011,Banks,2017,18
13,13011,Banks,2018,22
13,13011,Banks,2019,52
13,13011,Banks,2020,33
13,13011,Banks,2021,22
13,13013,Barrow,1979,10
13,13013,Barrow,1980,32
13,13013,Barrow,1981,37
13,13013,Barrow,1982,2
13,13013,Barrow,1983,23
13,13013,Barrow,1984,3
13,13013,Barrow,1985,15
13,13013,Barrow,1986,54
13,13013,Barrow,1987,21
13,13013,Barrow,1988,40
13,13013,Barrow,1989,5
13,13013,Barrow,1990,23
13,13013,Barrow,1991,10
13,13013,Barrow,1992,7
13,13013,Barrow,1993,33
13,13013,Barrow,1994,0
13,13013,Barrow,1995,24
