STATEFP,COUNTYFP,COUNTYNAME,period,scenario,extra_heat_days
13,13001,Appling,2045,low,31
13,13001,Appling,2045,high,33
13,13001,Appling,2065,low,44
13,13001,Appling,2065,high,53
13,13001,Appling,2099,low,54
13,13001,Appling,2099,high,84
13,13003,Atkinson,2045,low,29
13,13003,Atkinson,2045,high,31
13,13003,Atkinson,2065,low,41
13,13003,Atkinson,2065,high,49
13,13003,Atkinson,2099,low,51
13,13003,Atkinson,2099,high,81
13,13005,Bacon,2045,low,33
13,13005,Bacon,2045,high,35
13,13005,Bacon,2065,low,46
13,13005,Bacon,2065,high,54
13,13005,Bacon,2099,low,56
13,13005,Bacon,2099,high,86
13,13007,Baker,2045,low,29
13,13007,Baker,2045,high,31
13,13007,Baker,2065,low,42
13,13007,Baker,2065,high,49
13,13007,Baker,2099,low,51
13,13007,Baker,2099,high,81
13,13009,Baldwin,2045,low,30
13,13009,Baldwin,2045,high,32
13,13009,Baldwin,2065,low,42
13,13009,Baldwin,2065,high,50
13,13009,Baldwin,2099,low,51
13,13009,Baldwin,2099,high,79
13,13011,Banks,2045,low,26
13,13011,Banks,2045,high,29
13,13011,Banks,2065,low,39
13,13011,Banks,2065,high,49
13,13011,Banks,2099,low,50
13,13011,Banks,2099,high,83
13,13013,Barrow,2045,low,27
13,13013,Barrow,2045,high,30
13,13013,Barrow,2065,low,42
13,13013,Barrow,2065,high,52
13,13013,Barrow,2099,low,53
13,13013,Barrow,2099,high,85
13,13015,Bartow,2045,low,27
13,13015,Bartow,2045,high,29
13,13015,Bartow,2065,low,39
13,13015,Bartow,2065,high,49
13,13015,Bartow,2099,low,50
13,13015,Bartow,2099,high,83
13,13017,Ben Hill,2045,low,27
13,13017,Ben Hill,2045,high,28
13,13017,Ben Hill,2065,low,38
13,13017,Ben Hill,2065,high,45
13,13017,Ben Hill,2099,low,47
13,13017,Ben Hill,2099,high,75
13,13019,Berrien,2045,low,30
13,13019,Berrien,2045,high,32
13,13019,Berrien,2065,low,42
13,13019,Berrien,2065,high,50
13,13019,Berrien,2099,low,51
13,13019,Berrien,2099,high,82
13,13021,Bibb,2045,low,29
13,13021,Bibb,2045,high,32
13,13021,Bibb,2065,low,42
13,13021,Bibb,2065,high,50
13,13021,Bibb,2099,low,52
13,13021,Bibb,2099,high,81
13,13023,Bleckley,2045,low,28
13,13023,Bleckley,2045,high,29
13,13023,Bleckley,2065,low,40
13,13023,Bleckley,2065,high,47
13,13023,Bleckley,2099,low,49
13,13023,Bleckley,2099,high,78
13,13025,Brantley,2045,low,30
13,13025,Brantley,2045,high,33
13,13025,Brantley,2065,low,43
13,13025,Brantley,2065,high,53
13,13025,Brantley,2099,low,54
13,13025,Brantley,2099,high,87
13,13027,Brooks,2045,low,31
13,13027,Brooks,2045,high,33
13,13027,Brooks,2065,low,44
13,13027,Brooks,2065,high,53
13,13027,Brooks,2099,low,54
13,13027,Brooks,2099,high,85
13,13029,Bryan,2045,low,30
13,13029,Bryan,2045,high,32
13,13029,Bryan,2065,low,43
13,13029,Bryan,2065,high,51
13,13029,Bryan,2099,low,53
13,13029,Bryan,2099,high,83
13,13031,Bulloch,2045,low,31
13,13031,Bulloch,2045,high,33
