"StateFIPS","State","CountyFIPS","County","Start Year","End Year","Value","Data Comment","Emissions Scenario","Absolute Threshold"
"13","Georgia","13001","Appling","2016","2045","31","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13001","Appling","2016","2045","33","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13001","Appling","2036","2065","44","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13001","Appling","2036","2065","53","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13001","Appling","2070","2099","54","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13001","Appling","2070","2099","84","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2016","2045","29","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2016","2045","31","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2036","2065","41","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2036","2065","49","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2070","2099","51","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2070","2099","81","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2016","2045","33","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2016","2045","35","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2036","2065","46","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2036","2065","54","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2070","2099","56","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2070","2099","86","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2016","2045","29","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2016","2045","31","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2036","2065","42","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2036","2065","49","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2070","2099","51","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2070","2099","81","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2016","2045","30","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2016","2045","32","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2036","2065","42","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2036","2065","50","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2070","2099","51","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2070","2099","79","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","2016","2045","26","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","2016","2045","29","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","2036","2065","39","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","2036","2065","49","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","2070","2099","50","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","2070","2099","83","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13013","Barrow","2016","2045","27","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13013","Barrow","2016","2045","30","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13013","Barrow","2036","2065","42","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13013","Barrow","2036","2065","52","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13013","Barrow","2070","2099","53","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13013","Barrow","2070","2099","85","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13015","Bartow","2016","2045","27","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13015","Bartow","2016","2045","29","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13015","Bartow","2036","2065","39","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13015","Bartow","2036","2065","49","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13015","Bartow","2070","2099","50","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13015","Bartow","2070","2099","83","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13017","Ben Hill","2016","2045","27","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13017","Ben Hill","2016","2045","28","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
